context,response
high tempo upbeat music ,swear know long swear fall cloud shift shape blue print flame world melt away search voice late swear fall late write forget cloud shift space blue print flame world melt away write forget search voice late swear know long late write cause word line think feel fade away someday grave name someday grave name write forget
high tempo upbeat music ,crab want come crab want come crab need knickers crab need knickers say feel lonely comin round say feel lonely comin round crab booty gonna good good good good good good good good crab booty gonna good crab booty gonna good
high tempo upbeat music ,hard stand blame open eye world pleasure pain look eye know change hard stay answer question things hard close eye hear whisper goodbye question ask feel foolish goodbye turn corner hear whisper goodbye say goodbye say goodbye say say love time kiss taste great candle slowly fell flame answer question things hard close eye hear whisper goodbye question ask feel foolish goodbye turn corner hear whisper goodbye say goodbye say goodbye say say goodbye goodbye
high tempo upbeat music ,want want want want want want want want stain lame pimp bitch like cane bitch standin rain know rain chain chainz niggas gas propane suck like cane pretty girl fuck lam switch lanes yeah skurt switch lanes foreign want cause bore know white yeah pourin capri water roar capri water roar yeah downstairs score tomorrow drown tear sorrow cause cash borrow plenty hoe swallow yeah plenty hoe swallow plenty hoe swallow want want want want want want want want want want money snappy snappy snappy yeah unhappy bitch like sore throat wrist mink coat white bitch doin coke sip cause drink coke fuck niggas think joke hell fuck break know grow goin goin yeah goin want want want want want want want want yeah yeah yeah want yeah want yeah know bout yeah want want yeah
high tempo upbeat music ,ghostface killah holy gotta drop toy bring robe slippers gotta smell pinetrees sleigh bell ring store control kid sing night christmas dash snow reindeer nose glow candycanes christmas list north pole chubby jolly saint little elves get busy santa workshop gingerbread button wooden soldier chestnuts rosting like marshmellows goodfellas chocolate pudding pop jello gift cookies milk mantle mistletoe scent peppermint candle warm vanilla mean coat zipper lyric commercial
high tempo upbeat music ,alcoholic alcoholic nose reindeer like tear roof want gun shoot head reach pistol bartender turn reach ready style straight psycho yeah psycho long time thizzle till time time blow good club pop bubbly complain life lovely hate fan wanna know nut gonna come matter competition contest mean brag honest dog smoke college clap hand beat bounce drink blaze ounce girl house house song kiss dunno mouth lyric commercial
high tempo upbeat music ,look life tell human expect lose think safe run remember fall think leave leave surprise give tonight barely breathe wanna kill pain feel inside quit people fine fuck light remember fall think leave leave feel like feel like let hopeless remember remember fall fall think think leave leave yeah
high tempo upbeat music ,nuthin summer version
high tempo upbeat music ,hurtful word enemies years like feel tear freeze blood vein sit room play russian roulette finger trigger dear window drop silhouette blood hand forget sit room play russian roulette finger trigger dear window drop silhouette blood hand forget forget notch crash window sure alive time kill sit room play russian roulette finger trigger dear window drop silhouette blood hand forget sit room play russian roulette finger trigger dear window drop silhouette blood hand forget forget anymore anymore feel anymore notch crash window window sit room play russian roulette finger trigger dear window drop silhouette blood hand forget sit room play russian roulette finger trigger dear window drop silhouette blood hand forget forget
high tempo upbeat music ,time word remember time lie sweep corner hide things away wasn sure middle forget see little time fall like line fall like years alright fall like mind time face tender place tread carpet hide stairs things try try wasn sure middle forget see little time fall like line fall like years alright fall like mind time fall like line fall like years alright fall like mind
slow rainy chill day,little piece rank meat girls chasse short underneath frock pant dollars hear punany punany punany punany guinegog punany punany punany punany guine punany punany punany owner wear punany panty wear punany wear military badge punany swallow stand work different gwan like coward foot shoulder punany hoist like flag skin wide kill stab punany come soap punany good stinker dead punany punany english root punany guinegog hear punany punany york root punany come shabba rank coward anuh coward bus sweat beat hard soft like salad hear punany punany galang punany guinegog coward shabba coward gyal true sick saddle sell dollars coward punany punany punany punany guinegog true punany punany punany owner wear punany panty wear punany wear military badge punany slurp stand work different gwan like coward foot shoulder punany hoist like flag skin wide kill stab punany come soap punany good stinker dead punany punany punany brother chuney anuh coward brother lingual tell world punany punanynah dollars tell world punany short girls chasse frock girls chasse pant girls chasse york root
slow rainy chill day,zappa guitar vocals drum machine guitar acoustic guitar white guitar vocals estrada vocals soprano vocals keyboards saxophone vocals mar keyboards barrow keyboards bass micro bass rhythm guitar mann percussion thunes bass wackerman drum colaiuta drum harmonica fegy mandolin krystall saxophone instrumental
slow rainy chill day,girl come reach life know lovin go sign pain face hearbeat stop blame give strong somethin go wrong take fool learn take fool learn girl take fool learn stop think take fool learn shout tell world oooh babe babe take fool learn gotta careful take fool learn whoa baby take long time learn learn take fool learn fool fool need take fool learn
slow rainy chill day,judge book cover discover soul brother mecca work brunette blonde edison respond black have villains backtoback amaze face great paper real long overdue wanna talk stroke hell mademoiselle insist night twist unlisted live daddy want brother doubt piece mecca crazy late makebelieve breathe powerful lyric century battle physically conquer mentally essentially deal mecca affair wanna know whatcha gonna know come control future call shots larger plot cash minibikes open mics blow spot knot millennium years drop peer bring tear fear question manifest soldier wear versace army fatigue bring world intrigue glamour arsenal gods pimp players layer decepticons mindstate gravitate weapon make people business misconception hard core beach plateau brothers reach emphatic noncypher break misguide like hitler divide question deal mecca affair wanna whatcha gonna know come respect fame brothers count chip game civilize foolish act gunplay plan stick away choose negroes hypnotical flow planet east coast track goddammit theme mainstream knocker time writer block lucci lock pretty come clutch think bombshell build propel style hustle make rumble playgrounds danger jurassic dark bring light spite staff take champagne bath aftermath deal mecca affair wanna whatcha gonna know come
slow rainy chill day,mighty come go pride linger heritage claim desire stand pride strong hold pride want come touch pout world doubt life scheme believe dream press self esteem participate time motivate energies brighter brighter mind view real heed stand tall fall time check pride relieve doubt pride want come touch
slow rainy chill day,percent cruise city destiny hole bitch focus game haters speak plug bitch trapper htown representer soul paint perfect picture dboy swag snatchin paper tag money come paper bag smoke kush mean gang folks crips swaggin bout drop fifth pull liter level haters talk gallery condo skyscrapers hustle right shit neuver issue traffic noooah truth truth truth picture thuggin underneath ghetto duck weight livin niggas tooked away station bitch intention fuck today tell fuck away fuck shit streets unable change hood attentions invest class foreign exchange glass house sorta nough focus look haters cannon notice hard reach inside deepest crack true cobain suicide deepest track think think ghetto legend picture inside shoe thirty years operate view head hold screw praise news leave haters blue noooah truth truth
slow rainy chill day,lover believe turn tear life apart simple answer stand circle logic turn round mind keep hold think gonna think time gonna change endless nights stop lead gonna change endless nights tender touch take fear away reason rehearse explanation turn inside keep twist twist mind gonna think time gonna change endless nights stop lead gonna change endless endless nights wish change endless endless nights hold start gonna stop gonna think time gonna change endless nights stop lead gonna change endless endless nights wish change endless endless nights endless endless nights gonna think time wish gonna change endless endless nights
slow rainy chill day,divas leave rockin fellas right onrockin people onrockin people onrockin listen papi chulo position switchin welcome belavour missin gettin catch camisado novela riviera creature satin kuna palmetto slysaretto speakin bonticetti wichetto doin imagine cheeba foxy cheeba excella mardi gras funky sexposed voodoo peekaboo american style mahogany hopscotch buttox diggy interlude aculpoco hurt coast satin city cheeba connect say buy martini compliment paraphenalia australia playa confuse swayfullay chico fool fabu hawaiian bless spillin mazzola crack villanova sober days see inner vision strizzy days hollywood raise style livin lose esmerado solero searchin season sexy senorita aphrodisiac wing sunset say rise bronx say hater cat acough shootout jivetime sucka africa like straight cheeba rock beat cheeba cheeba negro leaguer cheeba naptan blue cheeba twist ganja anethesia ring lower right time midnight magic lower lower lower city bombers emerald suede gleamin cheeba blowin morado weezin lightnin hollow dimension break collisions stay reflectin bottle jensen unforbidden cashmere catch tech canipsin correct suspension ride hollywood
slow rainy chill day,read mind tale thoughts tell like oldtime movie bout ghost wishin castle dark fortress strong chain feet know ghost free long ghost read mind tale thoughts tell like paperback novel kind drugstores sell reach heartaches come hero heroes fail read book end hard walk away like movie get burn threeway script enter number movie queen play scene bring good things real think know go wrong feel go read mind tale thoughts tell like oldtime movie bout ghost wishin castle dark fortress strong chain feet stories read line know tryin understand feel lack think feel know go wrong feel go
slow rainy chill day,time time lord go motion mean end meet walk live dream anytime notion truth come bubble bittersweet point get outta live dream like make coffee cream need change string cause dirt hurt sing goddamn thing wait waitress come order tell special today star puddle spoon couldn boarder hop circle paper tell start today upstairs wear crook smile star chaos create say have little momma gonna away think overrate
slow rainy chill day,silly weaklooking small better daddy flesh blood flesh bone silly weaklooking small better flesh blood flesh bone silly weaklooking small better flesh blood flesh bone fall fall lean fall fall fall fall lean fall lean fall fall fall lean fall fall fall fall lean fall lean fall fall fall lean fall fall fall fall lean fall lean fall
slow rainy chill day,endanger species cage fright shoot cold blood fight stage boost think twice technology battle unfair pull hammer care squeeze trigger make pseudosafari can can go contest leave countdown extinction tell truth wouldn dare skin trophy rare silence speak louder word ignore guilt turn liars anagram lairs kill feet cage point blank courageous courageous go contest leave countdown extinction hour species life form disappear face planet forever rate accelerate go contest leave countdown extinction
slow rainy chill day,thinkin bout babe memories leave ball game shame go piece recall catcher say know game lose babe turn know right play turn wonder care return right baby play pitcher throw afford miss hold ball like steal kiss babe apologize like hurt love bitch afford miss deal steal kiss say goodbye love game hardly know know babe love things babe head like leave hear news like deaf play game great sit couch room lose game know right play love babe want things till leave even thinkin bout babe memories leave ball game shame go piece recall shoulda know babe
slow rainy chill day,union hole head get badly burn time laugh dance sneakers sixties songs blow speakers respect respect authority play dirty trick come cry bulldog lose bite breath go damn world laugh bring bring respect respect respect say yeah
slow rainy chill day,good morning heartache gloomy sight good morning heartache think say goodbye night turn toss go wish forget stay go away everyday start say good morning heartache stop haunt leave monday blue straight sunday blue good morning heartache good morning heartache know hang good morning heartache stop haunt leave monday blue straight sunday blue good morning heartache good morning heartache know hang good morning heartache
slow rainy chill day,flight moon mar jupiter outer galaxies alpha centauri shuttle depart second feel good strand spaceship hideaway make think stay feel good journey atmospheres breath make clear hold heaven hand automatic baby feel good feel good feel good feel good feel good extrasensory sensations cause complications electrostatic information feel good play pleasure trafficker arrive soon intergalactica hold heaven hand automatic baby feel good feel good feel good feel good feel good feel good feel good feel good strand spaceship hideaway flight moon mar jupiter outer galaxies alpha centauri shuttle depart second flight moon mar jupiter outer galaxies alpha centauri shuttle depart second
slow rainy chill day,afraid lookin mirror need help assissinate character swing belt feel gift presence felt tryin game know imma stay thing mind hard straight lookin niggas like stay friends pray meek work amen forget sign wild days need shots foul play ball tryin reach homebase haters strike like speak yeah lately viewin thing differently ridin mission crash today wake past away startin pastor damn know somebody prayin somebody prayin somebody like thank somebody prayin situations gettin ugly beauty struggle touch know somebody prayin somebody prayin fight hard bring stop defense creative trials survive forget felt like free think high school crush tell pass dutch shit pass blunt real easy score anytime layin yeah fast break bedroom puttin highlight need replay week gotta switch state cop killin niggas hard safe place treat like ingrate lunch room plate gotta easy free throw time weakos fuckin cheap hoe lord know deeper simple stayin mental city kill pencil know know somebody prayin somebody prayin somebody like thank somebody prayin situations gettin ugly beauty struggle touch know somebody prayin somebody prayin
slow rainy chill day,folk build like folk build like build build comfort build speed good girl need folk roar folk lieve sign want baby time build comfort build speed good girl need diamonds gold satisfy soul build comfort build speed good women need
slow rainy chill day,walk branch moon pose question eeyore days disappear soon wander today help house corner surprise count be hive cloud cloud away days know stick nose come ask help advice know go send loosen nose help house corner surprise count be hive cloud cloud away days hard explain precious things follow live say watch sleep tuck kiss go swear whisper welcome home believe finally come house corner know count be hive cloud cloud away days days ways ways days
slow rainy chill day,dungeon master guide side pryde nightcrawler wait posters wall favorite group kiss frehley criss wait garage feel safe care ways garage belong hear sing song garage electric guitar play stupid songs write stupid word wait garage feel safe care ways garage belong hear sing song garage garage garage feel safe care ways garage belong hear sing song garage feel safe laugh ways garage belong hear hear hear hear hear sing song
slow rainy chill day,say meet gallow tree news bring offer trouble abound soon gonna pull return belfast child sing brothers sisters look right crowd life spend church government sadness abound soon gonna pull return belfast child sing belfast child sing come come home come away long streets mother go girls cry long father call come home come home come home come people go rag emerald isle flesh blood flesh blood girls cry lose streets streets cold come home come home streets life go return belfast child sing belfast child sing
slow rainy chill day,morning morning hang head morning morning go go worry morning tell true tell act blow somebody morning morning tell true go go worry mornings lord long look daddy daddy go come gonna look daddy road
slow rainy chill day,thing lead touch closer yearn discover things need live live live life luxury hold arm heart heart heart heart belong know start affection connection believe life affliction sublime addiction believe stand mountain dream pour like fountain near like arm heart heart heart heart belong know start affection connection believe life affliction sublime addiction believe minuto amarti conquistarti troveró sogno occhi aperti come droga voglio averti troveró
slow rainy chill day,baby feel good moment arise feel good morning till till yeah live life till sleep night free yeah morning till till yeah feel good yeah cause life begin free yeah morning till till till till alright free yeah morning till till till till till till
slow rainy chill day,come shit hold feel live fair time heal wound true dream nights prayin come know heaven replace somethin niggas want spot knowin team remember night change hate fact wasn blame probably wish switch little kid gettin grow nephews hell tryna roll guess tell shit motherfuckers phone junior junior look like head drama fight like corn like kick thug like trae thoughts know know tell graveyard hear laugh home people probably thinkin trip gotta reevaluate crew fell apart forget tell half niggas dip reppin handful leave ridin everybody carry cold bunch niggas turn fuck shit bold snake shit gettin forget people come niggas probably tell ghetto dream sell want fuck hurtin cause death know go sure wing right tell die swear wasn right fuck night feel like losin loyal death niggas abusin ridin blurry cruisin life death tryna choosin gotta brother niggas undercover play position tryna gutter bread fuck brother know business handle tell finish know spot dedicate niggas shoot time comin word baby miss nigga know hurt look picture mama tear forget preacher demand read scripture amen know like shit go hurt know gotta mane team life worry know kid know know family miss nigga
slow rainy chill day,everytime go wave blow horn ridin cadillac feel like comin go long go long go forgo feel like gettin home need somebody treat right keep warm night baby come right home go long go long go long feel like comin home drive night blue play thing keep sane drivin bayou pourin rain go long go long go long feel like gettin home go long go long go long baby baby go go forgo feel like gettin home
slow rainy chill day,baby doin yeah sleep night yeah know yeah know sleep night free want yeah sleep night yeah know yeah know sleep night free want yeah sleep night yeah know yeah sleep night baby baby get get baby baby get get baby baby get get baby get get get baby get yeah
slow rainy chill day,go beat go beat go oíche fhéil eoin oíche fhéil eoin oíche fhéil eoin oíche fhéil eoin oíchoíche fhéil oíche fheíl oíche fhéil eoin thiochfaidh aniar oíche fhéil eoin thiochfaidh aniar oíche fhéil eoin churraichín say like brim burn solid burn burn like star burn hole right dark flick like saltwater eye inch edge drag sleepyhead sleepyhead couldn think burst lions thirst crowd bedroom like thoughts wear wall rule skin beard grow floor doors eye begonia sky like sleepyhead sleepyhead ahead
slow rainy chill day,yago leave twilight zone human body gift devil pact satisfy soon rain shake universe pilgrimage disgust dignity pilgrimage proud free spirit chain unite ally swear blood pain lose fantasy remember human tragedy rain shake universe hideous lie fairy tale demolish paradise venties sale destroy sacrifice
slow rainy chill day,look lonely blue look like yeah lonely go away know look like tear fall away away try understand reason know heart hold hold vanish thoughts sorrow like
long drives and good vibes music,multitudes people cry cause understand book read follow come join magnificent sanctuary band multitudes people die like temptation rule land know people remember commandments come join magnificent sanctuary band sing band talk bring sheep world fast sing band talk drop join sanctuary band speak revelation reach reach hand know promise bring salvation come join magnificent sanctuary band
long drives and good vibes music,ramblin ramblin mind lord gotta woman different kind go lord ramblin mind worry worry mind lord leave baby peace mind go lord ramblin mind lady come home lady come home need money bill tell simple word ramblin mind ramblin mind ramblin mind ramblin mind ramblin mind ramblin mind lord ramblin ramblin mind worry worry mind lord leave baby peace mind go lord ramblin mind
long drives and good vibes music,read mind like open book lose eye turn different look rain look like rain tear fall wrong hold near somebody hold heart yeah look eye tear rain feel like rain tear fall tear fall whoo rain yeah look like rain steal heart rain feel like rain tear fall tear fall whoo tear fall steal heart tear fall fall eye tear fall fall eye tear fall fall fall eye tear fall fall eye tear fall
long drives and good vibes music,university yellowjackets hark bell sweet silver bell throw care away christmas bring good cheer young meek bold ding dong ding dong song joyful ring carol hear word good cheer fill pound raise sound tell tale gaily ring people sing songs good cheer christmas christmas christmas send joyful tone home hark bell sweet silver bell throw care away christmas bring good cheer young meek bold ding dong ding dong song joyful ring carol hear word good cheer fill pound raise sound tell tale gaily ring people sing songs good cheer christmas christmas christmas
long drives and good vibes music,remember days slavery remember days slavery beat work hard refuse remember days slavery bull usually pull pull shackle neck remember days slavery brother feel include sisters survive show alive remember days slavery history recall history recall history recall days slavery slavery daysoh slavery days remember remember slavery daysoh slavery days
long drives and good vibes music,glimpse cloud reveal linger life energy radiate source life reflection flow end boundless infinity time cumular limit glimpse overcome overcome
long drives and good vibes music,jealousy jealousy night torture wonder spell know heart music start peace depart moment play languorous strain surrender charm jealousy torture ecstasy mystery pain dance tango heart beat sway eye answer dream soft word cruel lips fear music shatter spell lend believe eye deceive tango
long drives and good vibes music,occur give away ought today letter tell things better believe know long line mistake tire give heart soul masquerade gonna keepin build inside keepin baby try make difference think plan return time build dream get burn gonna quit commit woman meet keepin build inside keepin baby try
long drives and good vibes music,mississippi orleans play california see lord ramblin fool ramblin leave girl green grass grow girl cincinatti waitin ohio river flow girl ramblin heart ramblin better away stand close flame mess mind little heart ramblin mess ramblin better chicago know alabama ramblin fall ramblin better away stand close flame mess mind little heart ramblin mess ramblin
long drives and good vibes music,little tune gonna play nothin easy call calloway boogie calloway boogie keep groovy twentyfour hours like music boogie beat little ditty reet calloway boogie calloway boogie keep groovy twentyfour hours wake blue cat start jam blow away calloway boogie calloway boogie keep groovy twentyfour hours play waltz bebop jive kind music keep alive calloway boogie calloway boogie keep groovy twentyfour hours like boogie hideho listen go hidehidehidehi hidehidehidehi hodehodehodeho hodehodehodeho keep groovy twentyfour hours
long drives and good vibes music,come look fine notice alright wish someday yeah picture paint thousand word true feel want groove want drive turn loud roll windows shout girl press play repeat right belong want song sing smile pretty blue eye hair shimmer sunlight easy write heart tell world mean wrap stick head want drive turn loud roll windows shout girl press play repeat right belong want song right everybody sing yeah street aren girl song want drive turn loud roll windows shout girl yeah press play rewind couple million time imagine moment night drive home song song pretty little song baby
long drives and good vibes music,mind walkin ache heart talkin little hand hold tight wave goodbye tonight mind walkin mind life livin breathe breath breathin mean mind walkin pass street miss speakin charge ries keepin head bow hear song know mind walkin mind walkin
long drives and good vibes music,baby baby shoulda know blood stone true baby baby joke smoke true look good fine outside spin hearts desire awful baby baby shoulda know blood stone true yeah baby baby shoulda know blood stone true yeah yeah
long drives and good vibes music,word hear absurd believe slip lips tongue sing dumb wish pull skull fuck think fuck think fuck think fuck think fuck think fuck think fuck think fuck think word hear absurd believe slip lips tongue sing dumb wish pull skull fuck think fuck think fuck think fuck think fuck think fuck think fuck think fuck think
long drives and good vibes music,believe luck believe circumstance accidents happen perfect world believe luck walk dark slip footsteps catch turn round block meet smaller world accidents happen plan precognition ears accidents happen perfect world complications disappear yeah tell lie cry know like magi divinate presence afar follow bring perfect world accidents happen perfect world accidents happen accidents happen perfect world accidents happen
long drives and good vibes music,honest goodness bar weren open morning vote president quarter say honest goodness tear fall country face better vote shisname suppose world better vote shisname suppose world auto mobile alabama windshield wiper buffalo york indiana forget motor city baltimore need forget motor city suppose world forget motor city suppose world need money spare thirty pound potatoes thirty beers turkey thanksgiving like alms poor need necessities better vote shisname suppose world better vote shisname suppose world forget motor city suppose world forget motor city suppose world
long drives and good vibes music,reach help believe memories share truth right live show live word song stand yeah fear blind teach dream fall short life live unselfishly learn world bigger daily dose reality sing sing song stand sing
long drives and good vibes music,standin hopin wasn remember things bring wouldn need word felt strong remember wrong remember things memories drift pain stay illusion lock livin half life felt strong remember deep wrong feel touch real crazy kiss kiss tender amaze live feel like die touch cheek realize cry strong remember deep tell wrong belong nights dream stay forever
long drives and good vibes music,tonight put makeup time owners night call ready will pull feel special night gonna right pocket right feel right mirror tell gonna magic shine night tonight gonna right gonna magic shine night tonight gonna right gonna magic shine feel like win know reason tell ride rock reel know deal special night gonna right paradise feel fine feel like time go time night tonight gonna right gonna magic shine night tonight gonna right gonna magic shine night night night night young shine come night night night night feel right mirror tellin gonna magic shine shine shine night tonight gonna right gonna magic shine shine night tonight gonna right gonna magic shine shine night tonight gonna right gonna magic shine shine night shine night tonight gonna right gonna magic shine shine night tonight gonna right gonna magic shine shine night tonight gonna right gonna magic shine
long drives and good vibes music,holdin hand lover makin plan fit real good worry come things strange cause reason things change nothin long years see lovely eye girls grow see right disguise know know change long years remember time travel south borderline young time dance grande listen mexican band singin songs hearts young yeah long years see lovely eye girls grow see right disguise know know change long years yeah long years long years guitar solo long years see lovely eye things change right disguise see right yeah know know change long years long years long years saaaaame baby yeah long years long years
long drives and good vibes music,time look fall time think begin little dream night dream take memory thrill little kiss away pour want fall begin start steal away heart
long drives and good vibes music,blame carry away hold space orbit think soon cold think hold time leave come cold think hold stop stop dare draw line body body dare dare stop stop dare draw line body body body body think hold stop stop dare draw line body body dare dare stop stop dare draw line body body dare dare young heart choose believe destine young hearts need lesson star chart card sense want awake star space different view orbit think soon cold think hold time leave come cold think hold think hold think hold stop stop dare draw line body body dare dare stop stop dare draw line body body body body stop stop dare draw line body body dare dare stop stop dare draw line body body dare dare time leave come cold think hold think hold think hold
long drives and good vibes music,call reason dear reason reason darling lose dear remember lose hour completely sure sorry darling angry finally notice darling darling understand reason reason darling darling leave call reason dear reason reason darling lose
